date,open,high,low,close
2021-10-20,3887.87,4168.36,3831.13,4151.67
2021-10-19,3748.31,3884.22,3734.1899999999996,3878.25
2021-10-19,3747.912479035332,undefined,undefined,undefined
2021-10-18,3854.37,3890.971710272894,3699.03,3745.79
2021-10-17,3825.19,3918.2689717477897,3657.94,3845.27
2021-10-17,3828.4499039951393,undefined,undefined,undefined
2021-10-16,3868.7199999999993,3964.3735391501523,3804.041112928275,3831.4019107835625
2021-10-16,3864.4366854835785,undefined,undefined,undefined
2021-10-15,3791.66,3894.008262382306,3736.044234259391,3866.57
2021-10-15,3786.5294660374852,undefined,undefined,undefined
2021-10-14,3608.188717798269,3821.805012891714,3590.2101495358984,3788.22
2021-10-13,3490.6501048910145,3607.975058253676,3415.4673227830044,3605.726592398435
2021-10-12,3542.7012508188855,3542.7012508188855,3405.4417194530442,3491.2253809188715
2021-10-12,3543.538649678902,undefined,undefined,undefined
2021-10-11,3410,3621.684941519696,3381.67,3541.5088727293514
2021-10-10,3571.7,3602.17,3412.9,3420.37
2021-10-09,3556.25,3631.3999999999996,3545.62,3575.6300000000006
2021-10-09,3563.95,undefined,undefined,undefined
2021-10-08,3589.7400000000002,3669.5100000000007,3543.46,3562.18
2021-10-08,3588.51,undefined,undefined,undefined
2021-10-07,3573.84,3650.43,3478.08,3588.08
2021-10-06,3515.24,3623.0799999999995,3352.26,3578.8200000000006
2021-10-05,3385.32,3543.52,3366.0638312707197,3518.58
2021-10-05,3387.2,undefined,undefined,undefined
2021-10-04,3416.92,3437.7358911888555,3283.95,3378.14
2021-10-04,3418.914241966908,undefined,undefined,undefined
2021-10-03,3395.27,3487.66,3347.75151644405,3418.0900000000006
2021-10-02,3310.963182299544,3463.502800956336,3260.002353425993,3391.38
2021-10-02,3310.975368793566,undefined,undefined,undefined
2021-10-01,3000.4658983387417,3331.5460443227093,2974.233339875411,3309.5100376425
2021-09-30,2850.14,3046.1083030780314,2837.173295103117,3001.3666588007136
2021-09-29,2806.2695459220336,2945.2061647801493,2786.3224926336716,2848.6933877516276
2021-09-28,2925.7696065594496,2971.003727560695,2794.2317168447034,2804.3907741842313
2021-09-27,3061.9656624913473,3163.6949344394275,2931.6962258382664,2933.820490830925
2021-09-26,2924.08170851852,3114.9485770081433,2744.0672816629967,3060.543071030628
2021-09-25,2931.0372607018835,2967.89653367546,2815.9772656436626,2922.5723046649273
2021-09-24,3154.360772068745,3159.38278592565,2746.304506286134,2931.078624766718
2021-09-23,3078.323355703091,3174.2982995095267,3036.9646169074717,3156.9293131478476
2021-09-22,2779.85,3089.1163935011477,2744.65,3075.4662733368564
2021-09-21,2971.93,3095.03,2665.49,2749.37
2021-09-21,2972.12,undefined,undefined,undefined
2021-09-20,3343.34,3343.34,2935.11,2964.31
2021-09-20,3335.35,undefined,undefined,undefined
2021-09-19,3428.16,3450.95,3284.36,3326.13
2021-09-19,3429.0300000000007,undefined,undefined,undefined
2021-09-18,3392.96,3540.69,3372.13,3430.59
2021-09-18,3400,undefined,undefined,undefined
2021-09-17,3563.86,3588.84,3351.64,3392.65
2021-09-17,3570.3399999999997,undefined,undefined,undefined
2021-09-16,3615.65,3669.71,3489.07,3568.84
2021-09-16,3615.87,undefined,undefined,undefined
2021-09-15,3438.91,3599.99,3364.8,3596.7
2021-09-14,3280.73,3428.87,3276.66,3428.87
2021-09-14,3286.2,undefined,undefined,undefined
2021-09-13,3400.11,3428.95,3116.63,3286.07
2021-09-12,3263.8799999999997,3467.97,3233.23,3409.49
2021-09-11,3222.85,3345.1499999999996,3209.8000000000006,3267.34
2021-09-11,3209.8199999999997,undefined,undefined,undefined
2021-09-10,3426.51,3512.4419630497837,3153.1817439577694,3208.1616070742334
2021-09-09,3501.631765670125,3565.0984712235777,3400.535440594636,3428.190839815469
2021-09-09,3495.644455808885,undefined,undefined,undefined
2021-09-08,3434.0373846829584,3558.949312542073,3224.044239345054,3497.0382940657883
2021-09-07,3928.39445894073,3946.344748872844,3064.5030208185403,3427.4548149472284
2021-09-06,3952.15447882299,3969.6656572120314,3874.4337949783844,3929.8668475540403
2021-09-05,3845.3139762229816,3981.179329531893,3845.3139762229816,3953.294695482148
2021-09-03,3787.9891136677875,3977.191837837112,3712.1557061673107,3957.010863456215
2021-09-03,3789.6050157332397,undefined,undefined,undefined
2021-09-02,3823.9764216137387,3834.964417152135,3726.229120984399,3791.937293297241
2021-09-01,3406.227273299599,3838.3463606465575,3386.8714477767935,3838.3463606465575
2021-08-31,3227.239908228629,3469.45019278901,3195.770418662733,3431.9593383075057
2021-08-31,3227.4861964679017,undefined,undefined,undefined
2021-08-30,3228.658733998249,3346.608162739956,3146.6668985606675,3220.678911199816
2021-08-30,3224.610634003292,undefined,undefined,undefined
2021-08-29,3247.583009530734,3283.6404467457896,3157.958930273952,3223.8630120661314
2021-08-29,3243.964587850682,undefined,undefined,undefined
2021-08-28,3270.666681176265,3284.2362166110524,3212.4294749634323,3242.4331588309688
2021-08-28,3270.7790534071783,undefined,undefined,undefined
2021-08-27,3084.817942340545,3281.144062681497,3064.1896886814284,3266.0414951100424
2021-08-27,3098.870515661009,undefined,undefined,undefined
2021-08-26,3231.3135250448368,3247.3113734838016,3057.440630951674,3099.940678456867
2021-08-25,3177.16541061058,3248.08846843295,3083.5191308198832,3224.80084315883
2021-08-25,3171.2539216689856,undefined,undefined,undefined
2021-08-24,3325.1786494322564,3358.887428583717,3151.306571980372,3175.2241256398233
2021-08-24,3317.4881835759716,undefined,undefined,undefined
2021-08-23,3238.999045290467,3375.7580189200294,3233.074341131117,3316.9590430526023
2021-08-22,3224.0524288883166,3272.0315283566897,3134.7633328587717,3242.927802276576
2021-08-22,3225.1010276473844,undefined,undefined,undefined
2021-08-21,3285.493668833158,3307.8121371236884,3209.318751877722,3225.0286695759773
2021-08-20,3184.998503409503,3299.239505361528,3180.3657918934246,3285.954387054477
2021-08-19,3024.53,3186.4536551272777,2960.01,3184.627388461654
2021-08-19,3016.86,undefined,undefined,undefined
2021-08-18,3011.01,3125.79,2955,3018.58
2021-08-18,3013.81,undefined,undefined,undefined
2021-08-17,3144.49,3290.6572255555443,3000.54,3014.4899999999993
2021-08-16,3317.24,3336.4618233273213,3140.229797187378,3155.5
2021-08-16,3311.6474581800444,undefined,undefined,undefined
2021-08-15,3272.6877791147454,3321.7200000000003,3116.4100000000003,3309.872515238006
2021-08-14,3319.8172492519734,3328.7048221703194,3214.45,3266.733189842458
2021-08-13,3048.0692509121427,3327.77,3037.4455991463706,3324.685715981833
2021-08-12,3162.66129009663,3236.843288548302,2980.8496010599633,3041.1993855016353
2021-08-11,3141.682338364621,3269.6177441807677,3123.8731312426157,3163.3248278357455
2021-08-10,3150.6,3231.593061092097,3057.690362070391,3141.1676672794197
2021-08-09,3021,3186.4000000000005,2902.957968169914,3170.7
2021-08-08,3158.3,3186.1649999999995,2950.949,3010.3
2021-08-07,2891.1932377973944,3168.9859999999994,2868.80184926,3161.5767756416117
2021-08-07,2891.854080478904,undefined,undefined,undefined
2021-08-06,2829.048483072888,2944.688,2722.984,2891.359
2021-08-05,2727.4078131495626,2841.086928977618,2543.2452065111006,2827.702
2021-08-04,2512.638096994073,2765.892438462374,2463.122199956094,2724.8691853991513
2021-08-03,2607.414173261105,2629.6956399579944,2449.442426128161,2502.5
2021-08-02,2562.69,2664.885494591313,2513.9,2609.3999999999996
2021-08-01,2524.01,2697.12,2516.65,2561.51
2021-08-01,2536.04,undefined,undefined,undefined
2021-07-31,2453.930753674074,2552.32,2423.911008438247,2539.624295220281
2021-07-30,2386.87,2468.77,2319.402166529609,2467.626600060757
2021-07-29,2300.521332787003,2398,2273.4230437274246,2380.471189129675
2021-07-28,2300.6418371592904,2343.468825084629,2249.2107661802115,2296.4708214348225
2021-07-27,2228.519063846901,2318.7134770530843,2153.7560758936384,2299.4913095350557
2021-07-26,2192.9093564210693,2436.6940440821595,2177.1154913805267,2232.0829317214166
2021-07-25,2184.86,2196.995098488817,2110.03,2192.091392313512
2021-07-24,2113.34,2198.94,2108.07,2188.45
2021-07-24,2125.81,undefined,undefined,undefined
2021-07-23,2024.7499999999998,2130.18,1999.94,2126.86
2021-07-22,1993.4400000000003,2042.11,1955.36,2025.2700000000002
2021-07-21,1791.5800000000002,2023.230918638203,1757.9739020400143,1991.23
2021-07-21,1786.46,undefined,undefined,undefined
2021-07-20,1818.8980247707404,1837.38,1721.3134070257993,1787.6
2021-07-20,1818.44,undefined,undefined,undefined
2021-07-19,1889.0524842584505,1915.0300000000002,1806.57,1817.424580596197
2021-07-19,1891.46,undefined,undefined,undefined
2021-07-18,1900.0093048403517,1988.8586225755225,1881.93,1895.6573642070796
2021-07-17,1877.1800321006585,1917.0323740501408,1854.1704179030132,1898.380637569499
2021-07-16,1921.8790793988414,1959.6130577755396,1852.3591295580834,1879.0934965259028
2021-07-15,1994.2472409090426,2037.1550230855469,1883.0490681992346,1913.1708904779023
2021-07-14,1940.3789410867062,2017.775399186444,1868.8806902206372,1993.8641215422308
2021-07-13,2030.9373090250754,2040.8597659505724,1919.6069950323918,1939.0948967874165
2021-07-12,2139.16,2167.66,2007.8713619486825,2035.5887729119374
2021-07-11,2115.97,2172.14,2082.04,2139.58
2021-07-10,2147.1,2191.4,2083.31,2111.24
2021-07-10,2147.03,undefined,undefined,undefined
2021-07-09,2116.96,2185.05,2053.63,2153
2021-07-08,2316.82,2322.43,2085.48,2119.414561959876
2021-07-07,2317.8,2405.6,2298.48,2316.29
2021-07-07,2323.92,undefined,undefined,undefined
2021-07-06,2201.93,2346.76,2201.93,2329.2
2021-07-06,2197.34,undefined,undefined,undefined
2021-07-05,2317.36,2322.95,2165.17,2204.31
2021-07-05,2323.16,undefined,undefined,undefined
2021-07-04,2225.09,2385.76,2192.84,2322.07
2021-07-04,2225.95,undefined,undefined,undefined
2021-07-03,2159.59,2237.6210241353274,2115.9170212340155,2226.8165531744567
2021-07-02,2107.1780762722456,2157.2038214083523,2020.9749755450744,2156.03
2021-07-01,2276.454652261812,2276.454652261812,2079.1554232912863,2113.8092334426588
2021-07-01,2275.6285583960075,undefined,undefined,undefined
2021-06-30,2166.935246988732,2283.628446391182,2091.06,2273.54
2021-06-29,2083.55393099078,2241.6043155611424,2076.1870981627458,2160.3451796893446
2021-06-28,1983.3147620708844,2143.6242095791335,1963.776047126641,2080.239672069781
2021-06-28,1978.725255679549,undefined,undefined,undefined
2021-06-27,1830.6482698554478,1980.8823114594004,1810.670652406315,1976.6260819698405
2021-06-26,1809.536755472875,1849.3544319516188,1718.3188981046137,1829.1496953793699
2021-06-25,1989.1746857333203,2017.5525460351735,1792.3714100087134,1812.12645209121
2021-06-24,1972.6,2032.8233341445134,1886.8399999999997,1988.401665703302
2021-06-24,1967.68,undefined,undefined,undefined
2021-06-23,1871.62,2041,1825.37,1967.92
2021-06-23,1880.01,undefined,undefined,undefined
2021-06-22,1893.57,1994.1099999999997,1706.68,1874.7
2021-06-21,2257.07,2257.07,1865.02,1889.49
2021-06-21,2242.9,undefined,undefined,undefined
2021-06-20,2158.15,2273.64,2048.15,2242.29
2021-06-20,2174.57,undefined,undefined,undefined
2021-06-19,2225.42,2275.77,2166.48,2171.8
2021-06-19,2234.47,undefined,undefined,undefined
2021-06-18,2371.14,2377.42,2146.26,2228.62
2021-06-18,2370.22,undefined,undefined,undefined
2021-06-17,2367.73,2456.98,2308.27,2369.02
2021-06-16,2543.37232026788,2553.08,2353.51,2367.4
2021-06-15,2582.48351174172,2638.26,2514.11,2545.13
2021-06-14,2515.99,2604.018280095319,2470.59,2583.27
2021-06-14,2509.82,undefined,undefined,undefined
2021-06-13,2370.7244163315536,2548.410551575001,2311.868679762556,2509.26
2021-06-12,2354.813968328313,2447.568010857967,2261.86707542377,2367.97618080739
2021-06-11,2470.997378945105,2495.12396019085,2322.617204110257,2352.675589833701
2021-06-10,2610.6339384404746,2621.5144645105865,2433.3857468413585,2470.4736784482952
2021-06-09,2509.0481454222386,2623.7007639183257,2409.4014825151694,2607.626355089492
2021-06-08,2606.991436097317,2619.122388039417,2313.589174320377,2515.8341262355398
2021-06-07,2718.68,2846.796980367859,2576.207388924017,2587.1370179966284
2021-06-06,2629.885236139958,2743.8477902912437,2615.7400831226923,2713.0114882376297
2021-06-05,2690.896727759603,2816.0176831114086,2557.1389597260404,2628.0772306620715
2021-06-04,2856.0576878323773,2856.0576878323773,2558.291708108366,2685.9877830860205
2021-06-03,2706.64,2889.220875304005,2667.0534628187916,2852.8035058714017
2021-06-02,2643.82,2802.1021028153928,2559.49,2706.134441117451
2021-06-02,2633.74,undefined,undefined,undefined
2021-06-01,2726.78,2735.17,2530.89,2624.88
2021-06-01,2693.13,undefined,undefined,undefined
